,week,year,county,count,incidence
2941,51,2016,LK Neuwied,1,21.02680918
2942,51,2016,LK Rhein-Pfalz-Kreis,1,19.80089104
2943,51,2016,LK Rhein-Pfalz-Kreis,1,15.6128025
2944,51,2016,LK Südliche Weinstraße,1,36.32840882
2945,51,2016,LK Südwestpfalz,1,37.17318574
2946,51,2016,LK Südwestpfalz,1,23.80889394
2947,51,2016,LK Südwestpfalz,1,24.04263561
2948,51,2016,LK Vulkaneifel,1,40.04182146
2949,51,2016,LK Westerwaldkreis,1,15.90007685
2950,51,2016,LK Westerwaldkreis,1,27.81856116
2951,51,2016,SK Frankenthal,1,56.34508233
2952,51,2016,SK Frankenthal,1,56.53266332
2953,51,2016,SK Kaiserslautern,1,52.57930712
2954,51,2016,SK Kaiserslautern,1,28.89477486
2955,51,2016,SK Kaiserslautern,1,49.35969507
2956,51,2016,SK Koblenz,1,28.9407679
2957,51,2016,SK Koblenz,1,28.07236432
2958,51,2016,SK Koblenz,1,24.61942473
2959,51,2016,SK Koblenz,1,48.73294347
2960,51,2016,SK Landau i.d.Pfalz,1,85.57166627
2961,51,2016,SK Landau i.d.Pfalz,1,63.8184719
2962,51,2016,SK Ludwigshafen,1,15.16721858
2963,51,2016,SK Ludwigshafen,1,19.9924473
2964,51,2016,SK Ludwigshafen,1,16.27471723
2965,51,2016,SK Ludwigshafen,1,14.97678598
2966,51,2016,SK Mainz,1,10.57554464
2967,51,2016,SK Speyer,1,65.11829824
2968,51,2016,SK Trier,1,43.63213264
2969,51,2016,SK Worms,1,35.4882593
2970,51,2016,LK Neunkirchen,2,56.37596505
2971,51,2016,LK Neunkirchen,1,17.5733198
2972,51,2016,LK Neunkirchen,1,26.26510243
2973,51,2016,LK Saar-Pfalz-Kreis,1,20.16897116
2974,51,2016,LK Saarlouis,1,16.90553562
2975,51,2016,LK Saarlouis,1,11.90074776
2976,51,2016,LK Saarlouis,1,15.39619543
2977,51,2016,LK Sankt Wendel,1,33.96931439
2978,51,2016,LK Sankt Wendel,1,30.85573231
2979,51,2016,LK Sankt Wendel,1,25.69849949
2980,51,2016,LK Sankt Wendel,1,29.57559028
2981,51,2016,LK Stadtverband Saarbrücken,1,10.21618584
2982,51,2016,LK Stadtverband Saarbrücken,1,9.830854684
2983,51,2016,LK Stadtverband Saarbrücken,1,10.66350711
2984,51,2016,LK Stadtverband Saarbrücken,1,12.27387097
2985,51,2016,LK Stadtverband Saarbrücken,1,10.21618584
2986,51,2016,LK Stadtverband Saarbrücken,1,8.190977184
2987,51,2016,LK Stadtverband Saarbrücken,2,15.16670739
2988,51,2016,LK Stadtverband Saarbrücken,2,30.76896779
2989,51,2016,LK Stadtverband Saarbrücken,1,9.184095188
2990,51,2016,LK Bautzen,1,7.34945859
2991,51,2016,LK Bautzen,1,10.19951382
2992,51,2016,LK Bautzen,1,12.95560546
2993,51,2016,LK Erzgebirgskreis,1,13.88139122
2994,51,2016,LK Görlitz,1,11.57705171
2995,51,2016,LK Görlitz,1,12.95420688
2996,51,2016,LK Görlitz,1,16.17381459
2997,51,2016,LK Leipzig,1,19.83755249
2998,51,2016,LK Leipzig,1,18.60984461
2999,51,2016,LK Leipzig,1,14.90498075
3000,51,2016,LK Leipzig,1,22.22057625
3001,51,2016,LK Meißen,1,13.05899765
3002,51,2016,LK Meißen,1,11.1404752
3003,51,2016,LK Meißen,1,9.587012793
3004,51,2016,LK Meißen,1,9.587012793
3005,51,2016,LK Meißen,1,12.8783922
3006,51,2016,LK Meißen,1,9.86863747
3007,51,2016,LK Meißen,1,13.18787595
3008,51,2016,LK Meißen,1,21.50332107
3009,51,2016,LK Mittelsachsen,1,7.616178456
3010,51,2016,LK Mittelsachsen,1,9.248792519
3011,51,2016,LK Mittelsachsen,1,13.38011418
3012,51,2016,LK Mittelsachsen,1,12.22170167
3013,51,2016,LK Sächsische Schweiz-Osterzgebirge,1,13.69863014
3014,51,2016,LK Sächsische Schweiz-Osterzgebirge,1,21.20416073
3015,51,2016,LK Sächsische Schweiz-Osterzgebirge,1,13.69863014
3016,51,2016,LK Sächsische Schweiz-Osterzgebirge,1,9.310746153
3017,51,2016,LK Vogtlandkreis,1,10.1999184
3018,51,2016,LK Zwickau,1,9.190894887
3019,51,2016,LK Zwickau,1,12.47738474
3020,51,2016,SK Chemnitz,1,24.25418385
3021,51,2016,SK Chemnitz,1,18.86278373
3022,51,2016,SK Chemnitz,1,12.37836537
3023,51,2016,SK Dresden,1,4.580770435
3024,51,2016,SK Dresden,1,6.130852836
3025,51,2016,SK Dresden,1,7.493100104
3026,51,2016,SK Dresden,1,7.737841916
3027,51,2016,SK Dresden,1,5.699936351
3028,51,2016,SK Dresden,1,4.580770435
3029,51,2016,SK Dresden,1,7.493100104
3030,51,2016,SK Dresden,1,4.692008727
3031,51,2016,SK Leipzig,1,4.550832802
3032,51,2016,SK Leipzig,1,8.610297916
3033,51,2016,SK Leipzig,1,9.479222072
3034,51,2016,SK Leipzig,1,11.22145542
3035,51,2016,SK Leipzig,1,5.675637327
3036,51,2016,SK Leipzig,1,4.263897344
3037,51,2016,SK Leipzig,1,6.05813793
3038,51,2016,SK Leipzig,1,11.22145542
3039,51,2016,SK Leipzig,1,5.067353575
3040,51,2016,SK Leipzig,1,7.153900267
3041,51,2016,LK Altmarkkreis Salzwedel,1,36.05769231
3042,51,2016,LK Altmarkkreis Salzwedel,1,42.70665275
3043,51,2016,LK Anhalt-Bitterfeld,1,22.5702499
3044,51,2016,LK Anhalt-Bitterfeld,1,29.18004085
3045,51,2016,LK Anhalt-Bitterfeld,1,14.31741714
3046,51,2016,LK Burgenlandkreis,1,14.68237137
3047,51,2016,LK Burgenlandkreis,1,20.77394486
3048,51,2016,LK Burgenlandkreis,1,11.86607161
3049,51,2016,LK Mansfeld-Südharz,1,22.95479181
3050,51,2016,LK Mansfeld-Südharz,1,17.69841894
3051,51,2016,LK Mansfeld-Südharz,1,38.14367451
3052,51,2016,LK Mansfeld-Südharz,1,37.47813775
3053,51,2016,LK Salzlandkreis,1,14.71646282
3054,51,2016,LK Salzlandkreis,1,16.46105589
3055,51,2016,LK Stendal,1,38.77471888
3056,51,2016,LK Stendal,1,27.36560448
3057,51,2016,LK Wittenberg,1,38.5183283
3058,51,2016,LK Wittenberg,1,31.77966102
3059,51,2016,LK Wittenberg,1,17.05837756
3060,51,2016,SK Dessau-Roßlau,1,26.68762139
3061,51,2016,SK Halle,1,11.36377985
3062,51,2016,SK Halle,1,12.77819189
3063,51,2016,SK Magdeburg,1,11.92345144
3064,51,2016,SK Magdeburg,1,26.30002484
3065,51,2016,SK Magdeburg,1,27.1899216
3066,51,2016,LK Dithmarschen,1,25.44781078
3067,51,2016,LK Dithmarschen,1,23.10091249
3068,51,2016,LK Dithmarschen,1,22.40812668
3069,51,2016,LK Herzogtum Lauenburg,1,16.28399284
3070,51,2016,LK Ostholstein,1,12.72210678
3071,51,2016,LK Pinneberg,1,14.0041857
3072,51,2016,LK Pinneberg,1,8.743041996
3073,51,2016,LK Pinneberg,1,10.2694592
3074,51,2016,LK Plön,1,29.96703626
3075,51,2016,LK Plön,1,20.17869354
3076,51,2016,LK Rendsburg-Eckernförde,1,11.41393261
3077,51,2016,LK Schleswig-Flensburg,1,15.49560097
3078,51,2016,LK Segeberg,1,14.39596913
3079,51,2016,LK Segeberg,1,12.45769574
3080,51,2016,LK Segeberg,2,21.27332679
3081,51,2016,SK Kiel,1,12.71689369
3082,51,2016,SK Kiel,1,15.06957119
3083,51,2016,SK Kiel,1,10.60295469
3084,51,2016,SK Kiel,2,17.99496141
3085,51,2016,SK Kiel,1,9.118079125
3086,51,2016,SK Lübeck,1,19.28888317
3087,51,2016,SK Lübeck,1,21.53110048
3088,51,2016,SK Neumünster,1,40.33342296
3089,51,2016,LK Altenburger Land,1,27.27520684
3090,51,2016,LK Altenburger Land,1,45.67252797
3091,51,2016,LK Altenburger Land,1,52.91316362
3092,51,2016,LK Eichsfeld,1,43.52241404
3093,51,2016,LK Eichsfeld,1,39.27472671
3094,51,2016,LK Greiz,1,37.83658798
3095,51,2016,LK Kyffhäuserkreis,1,48.45482933
3096,51,2016,LK Kyffhäuserkreis,1,65.25048938
3097,51,2016,LK Kyffhäuserkreis,1,59.37067089
3098,51,2016,LK Nordhausen,1,31.22452166
3099,51,2016,LK Saale-Holzland-Kreis,1,26.94772142
3100,51,2016,LK Saalfeld-Rudolstadt,1,28.59730232
3101,51,2016,LK Saalfeld-Rudolstadt,1,29.22932026
3102,51,2016,LK Schmalkalden-Meiningen,1,42.9041331
3103,51,2016,LK Wartburgkreis,1,21.7883384
3104,51,2016,LK Wartburgkreis,1,29.45459901
3105,51,2016,LK Weimarer Land,1,27.95899348
3106,51,2016,LK Weimarer Land,1,35.88087549
3107,51,2016,SK Erfurt,1,21.24595737
3108,51,2016,SK Erfurt,1,14.39907846
3109,51,2016,SK Suhl,1,165.9445008
3110,51,2016,SK Weimar,1,39.27644068
3111,51,2016,SK Weimar,1,90.55236945
3112,52,2016,LK Altštting,1,27.25001892
3113,52,2016,LK Amberg-Sulzbach,2,60.71975538
3114,52,2016,LK Ammerland,1,32.34908254
3115,52,2016,LK Aschaffenburg,1,20.4578001
3116,52,2016,LK Augsburg,2,24.29820233
3117,52,2016,LK Bad DŸrkheim,1,23.08372982
3118,52,2016,LK Bad Tšlz-Wolfratshausen,1,20.84539664
3119,52,2016,LK Bamberg,1,26.43132994
3120,52,2016,LK Barnim,4,70.88292471
3121,52,2016,LK Bautzen,1,12.95560546
3122,52,2016,LK Bergstra§e,5,92.47821772
3123,52,2016,LK Biberach,1,19.3068829
3124,52,2016,LK Bitburg-PrŸm,1,49.75812025
3125,52,2016,LK Borken,7,60.27379235
3126,52,2016,LK Breisgau-Hochschwarzwald,3,44.23678346
3127,52,2016,LK Burgenlandkreis,4,80.53586621
3128,52,2016,LK Bšblingen,3,28.33320008
3129,52,2016,LK Calw,3,73.00159137
3130,52,2016,LK Celle,1,14.85087249
3131,52,2016,LK Coburg,2,80.75992652
3132,52,2016,LK Coesfeld,1,17.15723654
3133,52,2016,LK Dachau,4,108.528197
3134,52,2016,LK Darmstadt-Dieburg,4,43.00033858
3135,52,2016,LK Donau-Ries,2,44.11186392
3136,52,2016,LK DŸren,1,12.45700603
3137,52,2016,LK Ebersberg,5,105.1102336
3138,52,2016,LK Elbe-Elster,1,20.83478019
3139,52,2016,LK Emmendingen,4,106.5188733
3140,52,2016,LK Emsland,2,9.571464275
3141,52,2016,LK Ennepe-Ruhr-Kreis,5,45.40519577
3142,52,2016,LK Erlangen-Hšchstadt,1,17.70921469
3143,52,2016,LK Erzgebirgskreis,2,17.91177232
3144,52,2016,LK Esslingen,4,27.9906501
3145,52,2016,LK Euskirchen,4,66.97856414
3146,52,2016,LK Freising,1,16.04521184
3147,52,2016,LK Freudenstadt,2,76.61329751
3148,52,2016,LK Friesland,1,35.99424092
3149,52,2016,LK Fulda,3,39.33119548
3150,52,2016,LK Germersheim,5,120.7624325
3151,52,2016,LK Gotha,1,23.87552891
3152,52,2016,LK Gšppingen,1,13.50054002
3153,52,2016,LK Gšrlitz,3,32.01104486
3154,52,2016,LK Gšttingen,6,67.07628495
3155,52,2016,LK GŸnzburg,1,25.28445006
3156,52,2016,LK GŸtersloh,4,39.93668467
3157,52,2016,LK Harburg,1,16.93782876
3158,52,2016,LK Harz,1,14.45237541
3159,52,2016,LK Havelland,1,21.66638581
3160,52,2016,LK Ha§berge,1,42.62372721
3161,52,2016,LK Heidenheim,1,29.99000333
3162,52,2016,LK Heilbronn,1,11.95624016
3163,52,2016,LK Heinsberg,5,62.07424302
3164,52,2016,LK Herford,1,12.09376701
3165,52,2016,LK Hildesheim,1,12.67650269
3166,52,2016,LK Hochsauerlandkreis,3,38.14193273
3167,52,2016,LK Hof,1,38.4985563
