,county,X,Y,BinX,BinY
109,SK Essen,7.00732044,51.43776931,2,8
110,SK Memmingen,10.16123202,47.98172879999999,7,1
111,LK Lippe,8.99582429,51.99519507,5,9
112,LK Rems-Murr-Kreis,9.504913495,48.90170195,6,3
113,LK Aurich,7.551010077999999,53.67659651,3,13
114,LK Gießen,8.784492059,50.56147012,5,6
115,SK Mainz,8.238401173,49.96545159,4,5
116,LK Regensburg,12.10381508,49.01832986,11,3
117,LK Rastatt,8.208243605,48.79259362,4,3
118,SK Erfurt,11.01324258,50.98855127,9,7
119,LK Oldenburg,8.418102145,52.98988466,4,11
120,SK Eisenach,10.29464073,50.99540196,8,7
121,SK Straubing,12.57824627,48.88196844,11,3
122,SK Hamburg,10.23793642,53.49789652,7,12
123,LK Harz,11.00193783,51.80445869,9,9
124,LK Biberach,9.738412896,48.12156599,7,2
125,SK Cottbus,14.36606791,51.77549306,14,9
126,LK Weimarer Land,11.38479856,50.96516337,9,7
127,SK Jena,11.57970371,50.91925142,10,7
128,LK Neumarkt i.d.OPf.,11.53502539,49.21791988,10,4
129,SK Lübeck,10.74087666,53.87789972,8,13
130,LK Altenburger Land,12.40754287,50.95443822,11,7
131,LK Wartburgkreis,10.21577261,50.91611797,7,7
132,LK Hersfeld-Rotenburg,9.773648962000001,50.88294997,7,7
133,LK Ostholstein,10.84224256,53.99349327,8,13
134,LK Plön,10.35137175,54.20944309,8,14
135,LK Segeberg,10.16041112,53.90466788,7,13
136,LK Oder-Spree,14.166682999999999,52.24931095,14,10
137,LK Dahme-Spreewald,13.79828137,52.06891858,13,10
138,LK Miltenberg,9.248711199999999,49.768445299999996,6,5
139,LK Stade,9.367416452,53.58313081,6,13
140,LK Rhein-Pfalz-Kreis,8.371977795,49.43340141,4,4
141,LK Birkenfeld,7.312170131,49.713735299999996,2,5
142,LK Odenwaldkreis,8.987913752,49.66786094,5,5
143,LK Fürstenfeldbruck,11.19630705,48.18805341,9,2
144,LK Meißen,13.51249924,51.27181681,13,8
