,count,incidence
0,3.0,110.3917033274414
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,1.0,32.4892153854484
8,0.0,0.0
9,0.0,0.0
10,5.0,130.7484779964496
11,1.0,24.4366005973391
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,3.0,67.1532745330596
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,5.0,172.77112672436886
23,1.0,10.7995248209079
24,2.0,70.7142752492273
25,0.0,0.0
26,0.0,0.0
27,2.0,42.3729740315731
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,1.0,6.68841640594229
33,0.0,0.0
34,2.0,41.4751322019839
35,0.0,0.0
36,0.0,0.0
37,4.0,10.59113145492147
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,1.0,26.6284006686687
42,2.0,59.437648130073796
43,0.0,0.0
44,0.0,0.0
45,1.0,16.2121266707497
46,0.0,0.0
47,7.0,103.15326115919399
48,0.0,0.0
49,2.0,28.2725473565168
50,5.0,124.52492925352541
51,0.0,0.0
52,0.0,0.0
53,6.0,124.6348238888962
54,20.0,994.4680569419172
55,0.0,0.0
56,3.0,20.4973297362374
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,3.0,76.67077630185109
63,0.0,0.0
64,0.0,0.0
65,1.0,23.4478805721283
66,0.0,0.0
67,0.0,0.0
68,3.0,12.90537994103898
69,1.0,3.86900411833994
70,8.0,223.1319096240594
71,0.0,0.0
72,5.0,179.0062150838111
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,6.0,71.69536483529221
77,1.0,12.669899837403
78,0.0,0.0
79,2.0,155.179102547524
80,0.0,0.0
81,0.0,0.0
82,3.0,74.56780571389311
83,0.0,0.0
84,1.0,22.1503021055093
85,1.0,24.4366005973391
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,1.0,11.6069874064187
91,16.0,800.6246266174443
92,1.0,6.68841640594229
93,1.0,33.966109370872196
94,0.0,0.0
95,1.0,25.2542967379867
96,1.0,24.1038070624155
97,0.0,0.0
98,0.0,0.0
99,3.0,12.036771324598831
100,0.0,0.0
101,0.0,0.0
102,2.0,7.43481507518932
103,1.0,7.30421656190526
104,2.0,31.6487353009624
105,10.0,291.88505541832694
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,6.0,223.36095241121438
110,0.0,0.0
111,0.0,0.0
112,9.0,111.6358897523468
113,0.0,0.0
114,0.0,0.0
115,11.0,149.4083792534995
116,0.0,0.0
117,1.0,17.2724830153917
118,3.0,232.0175299929812
119,0.0,0.0
120,0.0,0.0
121,1.0,23.598820058997106
122,0.0,0.0
123,6.0,128.8510510994008
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,11.0,565.0935415632478
128,2.0,17.871851937683502
129,0.0,0.0
130,1.0,7.136258935190869
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,1.0,40.4922052504893
137,5.0,118.3805587773374
138,0.0,0.0
139,0.0,0.0
140,1.0,20.7375661009919
141,0.0,0.0
142,0.0,0.0
143,5.0,22.039166421816873
144,2.0,7.63917990819432
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,9.0,271.8719290769642
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,1.0,8.878235006880631
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,8.0,95.61682532515077
159,4.0,59.1951953819541
160,8.0,325.3815485980321
161,8.0,113.64484210733958
162,4.0,386.7828937709794
163,1.0,25.5033366865498
164,0.0,0.0
165,15.0,369.45926627770865
166,0.0,0.0
167,1.0,8.02686323562857
168,0.0,0.0
169,1.0,13.315776235778001
170,9.0,452.5399425401538
171,2.0,18.9401910854834
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,2.0,71.78651656283031
177,6.0,142.9454540703868
178,0.0,0.0
179,2.0,49.6325573491915
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,3.0,11.804060709550711
184,2.0,4.6051328990466205
185,12.0,346.5453560967785
186,0.0,0.0
187,0.0,0.0
188,1.0,15.7694160935652
189,0.0,0.0
190,1.0,37.477357429886105
191,0.0,0.0
192,8.0,100.2153363633556
193,6.0,77.111906510356
194,0.0,0.0
195,0.0,0.0
196,4.0,152.27310975663397
197,13.0,183.11427735451457
198,0.0,0.0
199,2.0,141.93195412517858
200,2.0,62.09707204658729
201,0.0,0.0
202,2.0,47.1976401179941
203,0.0,0.0
204,11.0,250.69641019947917
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,1.0,15.133044684518099
211,5.0,267.5404954668023
212,1.0,9.4700955427417
213,0.0,0.0
214,0.0,0.0
215,1.0,17.869907076483198
216,1.0,40.6467347123114
217,2.0,74.1665439406188
218,0.0,0.0
219,0.0,0.0
220,1.0,27.1304976939077
221,4.0,82.3301143739696
222,1.0,21.0676623087817
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,1.0,7.1412135302192405
227,1.0,19.1781113822091
228,0.0,0.0
229,1.0,2.98560936287096
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,28.0,854.5653990746238
234,1.0,30.907654795837804
235,0.0,0.0
